[prefill-profile] tokens=23 layers total=29 ms
[prefill-profile] tokens=122 layers total=88 ms
[prefill-profile] tokens=122 layers total=88 ms
[prefill-profile] tokens=122 layers total=88 ms
[prefill-profile] tokens=122 layers total=82 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
[prefill-profile] tokens=122 layers total=80 ms
